"Gene","Global","Intra","CellType"
"FLT3",1274930627696.13,0.745154681505051,"macrophage"
"FMN1",0.231221803091655,0.474051500270464,"macrophage"
"G6PD",0.664587407913363,0.931915043682363,"macrophage"
"GAB3",0.27697788825925,0.0985194292483169,"macrophage"
"GABARAP",1.04633602788553,42088486580.7211,"macrophage"
"GAK",1.17887166951678,0.520815699590713,"macrophage"
"GAPT",0.218790876055273,0.0941663388504176,"macrophage"
"GASK1B",0.32613202907094,0.862810110135872,"macrophage"
"GBP5",0.131778841888714,0.0111093119853236,"macrophage"
"GIHCG",0.129983736706111,0.0206791808091076,"macrophage"
"GM2A",0.40929322993273,0.350790009758818,"macrophage"
"GNLY",2313336756570978,NA,"macrophage"
"GOLGA8A",0.294160010182043,0.0276165842485967,"macrophage"
"GOLGA8B",0.300448316993085,0.00762150702972301,"macrophage"
"GOLGA8N",504207760.324304,23155822200.3099,"macrophage"
"GPM6A",0.393662457986908,NA,"macrophage"
"GPR141",1162800213270.14,282697277.343243,"macrophage"
"GRK3",0.517934574851259,0.42334238273838,"macrophage"
"GSAP",0.322026481518513,0.034576249146696,"macrophage"
"GSE1",0.342961047867242,0.0708853365218862,"macrophage"
"GSR",0.715032731771319,2.22662345134533,"macrophage"
"GSTM2",2729360983205628,4033145755.66975,"macrophage"
"GVINP1",0.212125760868369,NA,"macrophage"
"GZMA",7141128479408301,NA,"macrophage"
"GZMB",0.131086439570253,NA,"macrophage"
"HDAC10",0.167502381284767,1407889814044552,"macrophage"
"HDAC9",0.242100262343236,8272533620.67902,"macrophage"
"HELLS",15605056550185302,NA,"macrophage"
"HIST1H2AG",0.102187993062706,0.00484695496689218,"macrophage"
"HIST1H2AK",1451143833118483,162085541.286496,"macrophage"
"HIST1H2BE",9551893621662948,156989637.307661,"macrophage"
"HIST1H4E",0.1238757492526,7834825542.7502,"macrophage"
"HIST2H2AA4",0.0850594973550995,615936104.453283,"macrophage"
"HLA-H",211697732288.583,2197898903609886,"macrophage"
"HSH2D",0.287054672502817,3153107973642971,"macrophage"
"HTT",0.606284851729976,0.146104996777026,"macrophage"
"HVCN1",0.545286580329284,0.521446499820931,"macrophage"
"IFI30",0.204550983887899,19.342824474184,"macrophage"
"IKZF3",0.391986624502758,NA,"macrophage"
"IL17RA",1.21846791294167,3765595038.25602,"macrophage"
"IL1R2",0.19516203000277,NA,"macrophage"
"IL27RA",0.454209370002676,0.546104798173699,"macrophage"
"IL2RB",3115823369203523,NA,"macrophage"
"INPP4A",0.465556500128992,0.131426798901914,"macrophage"
"INPPL1",0.370224330233505,0.430923998254843,"macrophage"
"IRAK3",0.982042730204937,6641808434001419,"macrophage"
"IRF5",0.244904956508877,0.54348012621614,"macrophage"
"IRF8",1.63513159381508,2.45821536384737,"macrophage"
"ITGAL",0.499394934259879,0.196854712346796,"macrophage"
"ITGAM",0.637568853421438,161333637.532013,"macrophage"
"ITPK1",0.378531938590463,0.349237153786964,"macrophage"
"JAZF1",0.417410218310326,0.114878831094861,"macrophage"
"JDP2",0.576917968051375,326787752.688712,"macrophage"
"KCNAB2",0.896668678825867,0.983390755381078,"macrophage"
"KCNE1",0.172042121202652,2750932402512884,"macrophage"
"KCNE3",0.225023540293772,0.382134830249568,"macrophage"
"KCTD12",0.530890348977301,83066693056509.5,"macrophage"
"KDM5D",0.21141331323113,422053296217.157,"macrophage"
"KIAA0930",0.620318689788633,1.02693361293171,"macrophage"
"KLHL8",0.346064015986661,0.196019455867364,"macrophage"
"KLRC1",9897730999594912,NA,"macrophage"
"KLRD1",1665951491984336,NA,"macrophage"
"KLRF1",7048109135483814,NA,"macrophage"
"KMT2D",0.450083279410901,0.206364656173966,"macrophage"
"KMT2E-AS1",0.578520868840485,0.533851424885709,"macrophage"
"KRI1",0.257609264140806,0.165353848681886,"macrophage"
"LAIR1",0.872715406622399,1.43989474851903,"macrophage"
"LAT2",1.61292732901648,1.57331127624727,"macrophage"
"LFNG",0.350592398751357,0.359185599180115,"macrophage"
"LGALS9",0.655713740014191,2501158678405555,"macrophage"
"LILRA2",0.275836427044023,1.30082728031677,"macrophage"
"LILRB1",0.232453616638504,0.322565261078497,"macrophage"
"LILRB2",0.327679663270113,4.45779019981042,"macrophage"
"LILRB4",0.165258167359801,3306875284602024,"macrophage"
"LINC00174",0.104708819217636,14205026333.5112,"macrophage"
"LINC00877",5870954621431372,157563290.640926,"macrophage"
"LINC01138",0.190939797017061,0.0344352692930567,"macrophage"
"LINC01145",19187178273926772,681974844.359848,"macrophage"
"LINC01220",4940053696454344,1133023075.764,"macrophage"
"LINC01857",5126913710940543,NA,"macrophage"
"LINC02256",0.119993058385345,703258565056.301,"macrophage"
"LRRC37A4P",0.153321359112099,447533781.923971,"macrophage"
"LST1",0.674739689064702,645232084815.577,"macrophage"
"LTA4H",1.38879732407426,735511399123361,"macrophage"
"LY86",0.534240192830349,1.72751693125922,"macrophage"
"LYL1",0.65579325725878,0.526184949071599,"macrophage"
"LYZ",0.70160262115748,38102303.701046,"macrophage"
"MAN2B1",0.20706120374343,0.633309881782312,"macrophage"
"MANBA",0.642778977015348,0.575092342570541,"macrophage"
"MAP3K1",1.43683253011272,1.02989651772542,"macrophage"
"MAPK8IP3",0.219419475804584,0.254812143559268,"macrophage"
"MARC1",0.183582459607884,5128187359724670,"macrophage"
"MARCH1",1.15685034134211,41197409476.1119,"macrophage"
"MATK",110540236.404261,0.00961221257620895,"macrophage"
"MATR3-1",0.266735513505074,0.0771143672693426,"macrophage"
"MCTP2",0.733623555100468,0.0467750298686604,"macrophage"
"MIR181A1HG",0.184697216093117,667630366.322023,"macrophage"
"MIR3188",39405569502258776,168329305.380597,"macrophage"
"MLC1",20351996145.4732,NA,"macrophage"
"MPEG1",0.452842481292933,7130447126937431,"macrophage"
"MPO",6456907369097751,54014576754.4431,"macrophage"
"MRPS24",3580784874672062,556924595358212,"macrophage"
"MRTFA",0.358549231074439,0.280945177066988,"macrophage"
"MS4A1",0.11916577427505,NA,"macrophage"
"MS4A3",12095667478216546,174373496.21424,"macrophage"
"MS4A4E",0.0720157871742066,4821012928538250,"macrophage"
"MS4A6A",0.608558071313853,3934435225.419,"macrophage"
"MT-TC",0.0922303799855318,NA,"macrophage"
"MT-TE",0.416841328515798,NA,"macrophage"
"MT-TG",0.145788796879341,NA,"macrophage"
"MT-TK",0.247038529693847,NA,"macrophage"
"MT-TS2",0.622868339752841,NA,"macrophage"
"MT-TV",0.510708408662372,NA,"macrophage"
"MTG1",0.118708322338631,99583347.5928235,"macrophage"
"MYB",289744821.032441,NA,"macrophage"
"MYO15B",0.220598859284926,328711800941.073,"macrophage"
"MYO1G",1.68473091513027,5.47932984987857,"macrophage"
"MZF1-AS1",0.0699905800537941,913250140240.927,"macrophage"
"NAIP",0.51571045682291,2.37300020168977,"macrophage"
"NAPSB",0.172377494444972,0.0805776948022202,"macrophage"
"NBPF10",0.0974532640202539,2968380954932919,"macrophage"
"NBPF12",0.178144014520707,1786311091044.7,"macrophage"
"NBPF14",0.292434529901881,0.688572598152892,"macrophage"
"NCAM1",0.0845369833299885,68441255790438.2,"macrophage"
"NCR1",49068592031340160,NA,"macrophage"
"NCR3",5302638736869260,NA,"macrophage"
"NDUFV2P1",5604147720850404,4893446873485013,"macrophage"
"NEIL1",7480399019486.42,NA,"macrophage"
"NFATC3",0.458716015061382,0.085721806994735,"macrophage"
"NFE2",0.201348236849695,0.514371762936209,"macrophage"
"NKG7",0.526453447749893,1.0146164083262,"macrophage"
"NLRC3",9453007382356816,0.00495571827239036,"macrophage"
"NLRP3",0.355161966267475,2.50069481275967,"macrophage"
"NME2",0.291882777344406,47778215153.6641,"macrophage"
"NPIPB5",0.152780043855472,1722336139538368,"macrophage"
"NRROS",0.142025876818103,8280731016578064,"macrophage"
"NUP210",0.411766975280159,0.128751476268091,"macrophage"
"OGFR",0.895545097682242,1.91517041695155,"macrophage"
"OSBPL5",0.0881448927129485,77235433964593680,"macrophage"
"P2RX7",0.138396443465814,6741183376897546,"macrophage"
"PAGR1",0.0848681019400777,4482288977356417,"macrophage"
"PARP15",0.184479932544549,NA,"macrophage"
"PARVG",1.52721258072376,472635470.447816,"macrophage"
"PCNT",0.237417930576243,11325006359409218,"macrophage"
"PDE7A",1.04675502964034,0.38193723096131,"macrophage"
"PDZD4",199256959.924162,NA,"macrophage"
"PHKA2",0.181274005166871,5034513930736.88,"macrophage"
"PI4KA",0.297019970070524,0.360701208734957,"macrophage"
"PIK3R5",0.331533952192575,0.449174973069754,"macrophage"
"PIKFYVE",0.636851029707053,0.154114535710471,"macrophage"
"PLBD1",0.166554725855958,0.0598119529919424,"macrophage"
"PLCB2",0.517667868908128,1.07998106336172,"macrophage"
"PLCG2",0.48760404740385,0.108854583087978,"macrophage"
"PLCL2",0.496366962644115,0.13962681657278,"macrophage"
"PLEKHG3",0.0864050089393363,NA,"macrophage"
"PLXND1",0.482456834272693,0.560971584108998,"macrophage"
"POLD4",0.243262089562994,1.70093088235765,"macrophage"
"POU2F2",1.44884253870573,2.493498437335,"macrophage"
"PPIL2",0.248519765517631,0.100159150597997,"macrophage"
